time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.8400000000000004,-2.946486934287146,0.0002663946781512612,8.775779998354325,0.009538749682071135,3.8016204437664864,0.0,-3.6984801896439885,0.010032006375044788,-4.367304099714788,-0.007740739449251247,-28.833927318142607,0.0,899.8961422243591,0.44373228082071875,900.1421162247168,899.9186889438403
0.9000000000000005,-3.1467827160997723,0.0003436765858074879,8.440554795340661,0.009061372297879622,2.0715718512430605,0.0,-3.499727607947497,-0.007558082575658681,-6.8308049378581535,-0.008390929251960791,-28.83447137036943,0.0,899.9780034541947,0.4608007077815114,900.0013236368044,899.9751603533838
0.9600000000000005,-3.4144219918386516,-0.000219885894315157,8.001090997749868,0.008507168508432805,0.34148742672716725,0.0,-5.421343581736203,-0.006771149982961009,-7.315472742503619,-0.01098272870521345,-28.835150030347396,0.0,900.0021047012896,0.2992713084600743,899.9497096279874,899.8448960538361
1.0200000000000005,-3.743460598503784,-0.00014807164038395623,7.601390319966815,0.008097831184318949,4.894594653984949,0.0,-5.05328821483321,0.007920649075319803,-6.141696184034484,0.00041545045284252903,-28.8338686135661,0.0,899.9195916082754,0.28854285121998746,899.7675320543418,900.2287451257887
1.0800000000000005,-3.98798095307138,0.0002730143783513507,7.208581371160126,0.008126919315498249,3.1647076338000844,0.0,-3.2690687260625637,0.0022276471174918393,-7.431165158089761,0.0006232441436674017,-28.828048581062674,0.0,899.6394383633275,-0.0005189008555826491,899.8080055548064,899.8164121339103
1.1400000000000006,-4.199442558637109,-2.9798277823364085e-05,6.691394454264055,0.00795892182446778,1.4351171673900636,0.0,-4.198329643059999,-0.010317882592153195,-9.562782639582212,-0.01071984692714774,-28.82428549670056,0.0,899.5666070064003,-0.04343124956491524,900.2425736278852,899.7835124594018
1.2000000000000006,-4.506971872903718,-0.00047901825244220397,6.122036389261385,0.007282862647683075,5.988897941507798,0.0,-5.714923205272058,-0.0017291182615977235,-9.024516855442524,-0.012384227938986178,-28.82211970056038,0.0,899.5336780339538,-0.10113455970631385,899.8083693633799,899.7410131357309
1.2600000000000007,-4.819574300420801,-0.0002693763180345633,5.606459075362297,0.006518057118698906,4.259513694700367,0.0,-4.3668135041367915,0.006308040385507653,-8.487029254237955,-0.013481775815354152,-28.824550583742486,0.0,899.7093274170145,-0.10239948490858425,899.80269227145,899.7581793824487
1.3200000000000007,-5.0365482002907065,-0.00013033565641321806,5.041586627633082,0.005585017663510605,2.5299679729168023,0.0,-3.3276256188173687,-0.0029588598131943277,-10.576835694244586,-0.020050074896540735,-28.82766281020038,0.0,899.8212342379629,0.5428157571059302,900.0780020128552,899.8122711752585
1.3800000000000008,-5.2794224507992595,-0.0004920088099097727,4.355893854089847,0.004085189177679638,0.8001538965944919,0.0,-5.017540142204082,-0.0069655079578852695,-11.89036215371007,-0.037401323082655175,-28.83445851604804,0.0,900.1132095155573,0.5309875646289672,900.378966986933,899.6769212124517
